idx,ts_ns,tid,op,ptr,arg,retaddr
0,19357874002,639,malloc,0x000000000025e860,2048,0x00000000000740d3
1,19525196668,639,free,0x000000000025e860,0,0x0000000000074091
2,19365942168,668,malloc,0x0000000000262358,24,0x00000000000a092d
3,19374942835,647,malloc,0x000000000025f1f0,71,0x0000000000076c65
4,19526440502,647,free,0x000000000025f1f0,0,0x0000000000076d01
5,19526460502,647,malloc,0x000000000025e860,50,0x0000000000076c65
6,19526468168,647,free,0x000000000025e860,0,0x0000000000076d01
7,19526504168,647,malloc,0x000000000025e898,42,0x0000000000076c65
8,19526512335,647,free,0x000000000025e898,0,0x0000000000076d01
9,19526536002,647,malloc,0x000000000025f1f0,73,0x0000000000076c65
10,19526543668,647,free,0x000000000025f1f0,0,0x0000000000076d01
11,19527841835,639,malloc,0x000000000025f240,2048,0x00000000000740d3
12,19527867502,639,free,0x000000000025f240,0,0x0000000000074091
13,19528487002,668,free,0x0000000000262358,0,0x00000000000a097d
14,19528609335,668,malloc,0x0000000000262358,24,0x00000000000a092d
15,19528731168,668,free,0x0000000000262358,0,0x00000000000a097d
16,19528820002,668,malloc,0x0000000000262358,24,0x00000000000a092d
17,19528927168,668,free,0x0000000000262358,0,0x00000000000a097d
18,19528938002,668,malloc,0x0000000000262358,24,0x00000000000a092d
19,19529033168,668,free,0x0000000000262358,0,0x00000000000a097d
20,19529043335,668,malloc,0x0000000000262358,24,0x00000000000a092d
21,19529137002,668,free,0x0000000000262358,0,0x00000000000a097d
22,19529147002,668,malloc,0x0000000000262358,24,0x00000000000a092d
23,19529245502,668,free,0x0000000000262358,0,0x00000000000a097d
24,19529256502,668,malloc,0x0000000000262358,24,0x00000000000a092d
25,19529358002,668,free,0x0000000000262358,0,0x00000000000a097d
26,19529373668,668,malloc,0x0000000000262358,24,0x00000000000a092d
27,19529479335,668,free,0x0000000000262358,0,0x00000000000a097d
28,19529521668,668,malloc,0x0000000000262358,24,0x00000000000a092d
29,19529628668,668,free,0x0000000000262358,0,0x00000000000a097d
30,19529701168,668,malloc,0x000000000025eaf0,12,0x00000000000a09f3
31,19529780835,668,free,0x000000000025eaf0,0,0x00000000000a0a3b
32,19532542502,639,malloc,0x000000000025f240,2048,0x00000000000740d3
33,19532570502,639,free,0x000000000025f240,0,0x0000000000074091
34,19536886335,639,malloc,0x000000000025f240,2048,0x00000000000740d3
35,19536914668,639,free,0x000000000025f240,0,0x0000000000074091
36,19566662335,670,malloc,0x000000000025f5c0,1024,0x0000000000073af1
37,19574977502,647,malloc,0x000000000025f1f0,73,0x0000000000076c65
38,19575011002,647,free,0x000000000025f1f0,0,0x0000000000076d01
39,19585640668,639,malloc,0x000000000025f9c8,2048,0x00000000000740d3
40,19585668502,639,free,0x000000000025f9c8,0,0x0000000000074091
41,19597990835,642,malloc,0x00000000b3521008,196272,0x00000000000764bb
42,19627803668,642,free,0x00000000b34c3178,0,0x000000000007653f
43,19627840335,642,malloc,0x00000000b34a2d18,12,0x0000000000076545
44,19629868168,668,malloc,0x0000000000262358,24,0x00000000000a092d
45,19630055168,668,free,0x0000000000262358,0,0x00000000000a097d
46,19630178668,668,malloc,0x000000000025eaf0,12,0x00000000000a09f3
47,19630278502,668,free,0x000000000025eaf0,0,0x00000000000a0a3b
48,19630291335,668,malloc,0x0000000000262358,24,0x00000000000a092d
